%Station,Niskin,Year,Month,Day,Hour,Minute,Second,Latitude(S),Longitude(W),BottomDepth(m),Depth(m),Pressure(dbar),T090(degC),T190(degC),C0(S/m),C1(S/m),V0(V),V1(V),V2(V),V3(V),V4(V),V5(V),V6(V),V7(V),FlECO-AFL(mg/m^3),SbOx(umol/kg),Par(uEinsteins/m2/sec),Alt(m),CStarAt(1/m),CStarTr(%),Sal00,Sal11,Sigma-t00,Sigma-t11,CHLDepth,CHL(ug/l),Phaeo(ug/l),NUTBottleID,PO4(uM),Sil(uM),NO3(uM),NO2(uM),NH4(uM)
3,9,2017,6,9,22,32,51,64.38072,-167.07,29.5,20.04,20.23,-0.393,-0.394,2.657926,2.657898,0.0013,3.9596,1.3809,3.29,1.9447,2.9475,0.4978,0.0831,1.6831,402.666,30.6,9.96,0.6631,84.7236,32.151,32.151,25.823,25.824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,10,2017,6,9,22,32,57,64.38072,-167.07,29.5,20.12,20.32,-0.395,-0.395,2.65775,2.657813,0.0014,3.9379,1.3795,3.29,1.9381,2.9471,0.4848,0.0806,1.6226,402.124,30.12,9.69,0.6852,84.258,32.151,32.152,25.823,25.824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,11,2017,6,9,22,33,7,64.38072,-167.07,29.5,19.93,20.12,-0.388,-0.389,2.658144,2.658183,0.0012,3.9421,1.3797,3.2902,1.9506,2.9475,0.5039,0.0823,1.6639,402.383,31.02,10.08,0.6809,84.3476,32.149,32.15,25.821,25.822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,12,2017,6,9,22,33,14,64.38072,-167.07,29.5,19.94,20.14,-0.388,-0.386,2.658196,2.658437,0.0012,3.9716,1.3138,3.2902,1.9491,2.9468,0.7782,0.0814,1.6418,401.716,30.91,15.56,0.6511,84.979,32.149,32.15,25.822,25.822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,13,2017,6,9,22,33,23,64.38072,-167.07,29.5,20.2,20.4,-0.398,-0.393,2.657552,2.657974,0.0012,3.9584,1.3813,3.2902,1.9186,2.9448,0.5817,0.0824,1.6669,401.944,28.78,11.63,0.6644,84.6964,32.151,32.152,25.823,25.824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,14,2017,6,9,22,33,30,64.38072,-167.07002,29.5,20.16,20.36,-0.396,-0.396,2.65764,2.657796,0.0012,3.7534,1.3157,3.2901,1.9243,2.9471,0.4873,0.0846,1.7184,402.862,29.17,9.75,0.8853,80.31,32.15,32.152,25.823,25.824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,15,2017,6,9,22,33,38,64.38072,-167.07002,29.5,20.03,20.23,-0.394,-0.395,2.657779,2.657842,0.0012,3.9462,1.3861,3.29,1.9322,2.946,0.4914,0.0827,1.6723,402.027,29.7,9.83,0.6768,84.4345,32.15,32.152,25.823,25.824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,16,2017,6,9,22,33,44,64.38072,-167.07002,29.5,20.08,20.27,-0.398,-0.394,2.657554,2.657898,0.0013,3.9515,1.3167,3.2901,1.9264,2.9451,0.4835,0.079,1.5832,401.895,29.31,9.67,0.6713,84.5497,32.151,32.151,25.823,25.823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,17,2017,6,9,22,33,52,64.38072,-167.07002,29.5,20.24,20.44,-0.4,-0.398,2.657426,2.657685,0.0012,3.9356,1.345,3.29,1.9055,2.945,0.4782,0.0767,1.5294,401.656,27.91,9.56,0.6875,84.2079,32.152,32.152,25.824,25.825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,18,2017,6,9,22,34,0,64.38072,-167.07002,29.5,20.13,20.33,-0.4,-0.397,2.657464,2.657711,0.0013,3.9384,1.3163,3.2899,1.9118,2.9453,0.482,0.0851,1.7309,401.864,28.33,9.64,0.6847,84.2676,32.152,32.152,25.824,25.825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,19,2017,6,9,22,34,8,64.38072,-167.07002,29.5,20.25,20.45,-0.401,-0.399,2.657388,2.657619,0.0013,3.9358,1.3154,3.2902,1.8929,2.9439,0.4822,0.0936,1.9342,401.64,27.1,9.64,0.6873,84.2127,32.152,32.153,25.824,25.825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,20,2017,6,9,22,34,16,64.38072,-167.07,29.5,20.2,20.4,-0.393,-0.395,2.65779,2.657812,0.0013,3.9536,1.3146,3.29,1.8854,2.9471,0.4887,0.0722,1.4211,402.567,26.62,9.78,0.6692,84.594,32.149,32.151,25.822,25.824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,21,2017,6,9,22,34,22,64.38072,-167.07,29.5,20.21,20.41,-0.394,-0.395,2.65777,2.657798,0.0014,3.9553,1.3139,3.2899,1.8813,2.9472,0.4867,0.0964,2.0012,402.506,26.37,9.73,0.6676,84.6297,32.15,32.152,25.823,25.824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,22,2017,6,9,22,34,29,64.3807,-167.07,29.5,20.15,20.35,-0.397,-0.391,2.657626,2.65805,0.0014,3.9735,1.3835,3.2899,1.8815,2.9484,0.4844,0.0844,1.7136,402.836,26.38,9.69,0.6491,85.0206,32.151,32.151,25.823,25.823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
