	secondary_number	cellid	side	project	station	station_type	date	CTD_number	filter	depth_original	depth_type	depth_m	bottom_depth	lat	lon	temp	salinity	DO	POC (ug/L)	PON (ug/L)	SPM (ug/L)	FlECO-AFL(mg/m^3)	chl depth	chl (ug/l)	phaeo (ug/l)	PO4(uM)	Sil(uM)	NO3(uM)	NO2(uM)	NH4(uM)	N+N (umol/L)	mass	log_name	bottle	niskin_id_meta	volume_filtered_l	transmission_pct	niskin_id_nutrients	poc_pon_ratio	poc_pon_ratio_redfield	cast_depth	delO18	sedchla_mg_m2	notes	notes2
AMBON_2015_08_12_DBO3.5_4.5_A_surface		AMBON_2015_08_12_DBO3.5_4.5_A_surface	AMBON_2015_08_12_DBO3.5_4.5_A_surface	AMBON2015	 DBO3.5	S	  Aug 12 2015  12:19:36	5	0.2	surface	surf	4	50.8	68.012	-167.866	7.37	31.75	290.142				0.794	6	1.094		0.49	12.81			0.49	0.66		AMBON2015_005_4	6			93.5182					-1.251337095			
AMBON_2015_08_12_DBO3.5_46.5_A_deep		AMBON_2015_08_12_DBO3.5_46.5_A_deep	AMBON_2015_08_12_DBO3.5_46.5_A_deep	AMBON2015	 DBO3.5	S	  Aug 12 2015  12:19:36	5	0.2	deep	bottom	47	50.8	68.012	-167.866	4.68	32.26	237.113				0.503	1	1.552		1.69	34.16			3.94	6.06		AMBON2015_005_47	1			53.4556					-1.008400652			
AMBON_2015_08_12_DBO3.6_20_A_mid		AMBON_2015_08_12_DBO3.6_20_A_mid	AMBON_2015_08_12_DBO3.6_20_A_mid	AMBON2015	 DBO3.6	S	  Aug 12 2015  09:38:54	4	0.2	mid	mid	20	55.9	67.897	-168.237	4.47	32.55	268.535				0.243	5	0.621		1.6	31.32			2.41	11.07		AMBON2015_004_20	5			95.819					-0.468855761			
AMBON_2015_08_12_DBO3.6_4.5_A_surface		AMBON_2015_08_12_DBO3.6_4.5_A_surface	AMBON_2015_08_12_DBO3.6_4.5_A_surface	AMBON2015	 DBO3.6	S	  Aug 12 2015  09:38:54	4	0.2	surface	surf	4	55.9	67.897	-168.237	5.99	32.41	396.355				12.039	7	18.208		0.08	7.83			0.89	0.23		AMBON2015_004_4	7			67.4545					-0.152473416			
AMBON_2015_08_12_DBO3.6_53.4_A_deep		AMBON_2015_08_12_DBO3.6_53.4_A_deep	AMBON_2015_08_12_DBO3.6_53.4_A_deep	AMBON2015	 DBO3.6	S	  Aug 12 2015  09:38:54	4	0.2	deep	bottom	54	55.9	67.897	-168.237	4.18	32.6	235.812				0.651	1	1.904		1.95	44.84			4.36	12.79		AMBON2015_004_54	1			28.194					-0.391172596			
AMBON_2015_08_12_DBO3.7_20.4_A_mid		AMBON_2015_08_12_DBO3.7_20.4_A_mid	AMBON_2015_08_12_DBO3.7_20.4_A_mid	AMBON2015	 DBO3.7	S	  Aug 12 2015  07:16:08	3	0.2	mid	mid	21	47.7	67.784	-168.605	4.81	32.68	315.536				3.068	3	9.536		1.48	25.27			2.08	8.5		AMBON2015_003_21	3			83.6326					-1.37704258			
AMBON_2015_08_12_DBO3.7_30.6_A_deep		AMBON_2015_08_12_DBO3.7_30.6_A_deep	AMBON_2015_08_12_DBO3.7_30.6_A_deep	AMBON2015	 DBO3.7	S	  Aug 12 2015  07:16:08	3	0.2	deep	bottom	31	47.7	67.784	-168.605	3.92	32.69	253.026				0.508	2	1.824		2.17	44.13			3.82	16.29		AMBON2015_003_31	2			61.4643					-1.225913514			
AMBON_2015_08_12_DBO3.7_4.5_A_surface		AMBON_2015_08_12_DBO3.7_4.5_A_surface	AMBON_2015_08_12_DBO3.7_4.5_A_surface	AMBON2015	 DBO3.7	S	  Aug 12 2015  07:16:08	3	0.2	surface	surf	5	47.7	67.784	-168.605	5.57	32.69	393.018				13.21	5	21.088		0.55	5.69			0.84	0.24		AMBON2015_003_5	5			70.6461					-1.136930979			
AMBON_2015_08_12_DBO3.8_18.6_A_mid		AMBON_2015_08_12_DBO3.8_18.6_A_mid	AMBON_2015_08_12_DBO3.8_18.6_A_mid	AMBON2015	 DBO3.8	S	  Aug 12 2015  04:17:41	2	0.2	mid	mid	18	51.2	67.667	-168.955	4.68	32.7	305.821				10.855	8	9.632		0.18	2.85			0.26	0.5		AMBON2015_002_18	8			64.2644								
AMBON_2015_08_12_DBO3.8_4.5_A_surface		AMBON_2015_08_12_DBO3.8_4.5_A_surface	AMBON_2015_08_12_DBO3.8_4.5_A_surface	AMBON2015	 DBO3.8	S	  Aug 12 2015  04:17:41	2	0.2	surface	surf	5	51.2	67.667	-168.955	6.04	32.65	377.592				8.751	10	9.888		0.18	2.85			0.31	0.19		AMBON2015_002_5	10			72.0269					-1.213193399			
